transactionAmount,0.4348767951602242
posEntryMode,0.2056549266159989
merchantName,0.04362311876474174
merchantCategoryCode,0.038285919228670945
accountNumber,0.031039450161300088
customerId,0.027755600183065426
enteredCVV,0.02524715605254714
cardCVV,0.024013887330794702
transactionType,0.017109001754858282
cardLast4Digits,0.01674485169064819
currentBalance,0.016097540163614574
accountOpenDate_day,0.014361823105072285
availableMoney,0.011268304833874749
cardPresent,0.010876684582003238
posConditionCode,0.010629582546051425
creditLimit,0.01004537505196228
dateOfLastAddressChange_year,0.008548770909462189
dateOfLastAddressChange_day,0.00845494475284805
accountOpenDate_month,0.007663620359739215
dateOfLastAddressChange_month,0.005952484556572102
accountOpenDate_year,0.0055340383853738715
transactionDateTime_minute,0.004387534501956917
transactionDateTime_day,0.004250903366668157
transactionDateTime_second,0.0042468530937457396
transactionDateTime_month,0.004057886977799941
currentExpDate_year,0.0032226495027025885
transactionDateTime_hour,0.0026972136620729207
currentExpDate_month,0.0025744581177514227
merchantCountryCode,0.0004884059819622267
acqCountry,0.00026708328164063084
expirationDateKeyInMatch,2.313532427570719e-05
transactionDateTime_year,0.0
currentExpDate_day,0.0
